config,model,F1_1.1,F1_1.2,F1_1.3,F1_1.4,F1_1.5,F1_2.1,F1_2.2,F1_2.3,F1_2.4,F1_2.5,F1_2.6,F1_3.1,F1_3.2,F1_3.3,macro_F1,micro_F1,kappa,macro_F1_ci_lo,macro_F1_ci_hi,kappa_ci_lo,kappa_ci_hi,total_cost_usd,mean_cost_usd,mean_latency_s
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,0.2553,0.0,0.2623,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.4348,0.0,0.2333,0.3214,0.1139,0.2283,0.0988,0.0838,0.144,0.0297,0.1667,6.0964,0.061,5.3391
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,0.3111,0.0,0.16,0.0,0.0833,0.0,0.087,0.0,0.0,0.0,0.3793,0.125,0.1429,0.3226,0.1151,0.2147,0.1053,0.0761,0.1535,0.031,0.1862,11.75,0.1175,5.973
gemini-2.5-pro_zero_shot,gemini-2.5-pro,0.2745,0.0,0.2973,0.0,0.1579,0.0,0.0769,0.0,0.0,0.0,0.475,0.1622,0.0,0.3889,0.1309,0.2572,0.1155,0.0968,0.1662,0.0469,0.1887,4.8656,0.0487,22.7902
gemini-2.5-pro_few_shot,gemini-2.5-pro,0.3111,0.0,0.2667,0.0,0.1667,0.0,0.1429,0.0,0.0,0.0,0.4225,0.0741,0.0,0.3099,0.121,0.239,0.1085,0.0874,0.1493,0.0463,0.1696,9.3878,0.0939,22.259
gemini-2.5-flash_zero_shot,gemini-2.5-flash,0.3333,0.0,0.2623,0.0,0.1333,0.0,0.2703,0.08,0.0,0.0,0.4898,0.087,0.1579,0.1538,0.1406,0.2463,0.0938,0.0982,0.1819,0.0295,0.1635,0.6134,0.0061,15.7434
gemini-2.5-flash_few_shot,gemini-2.5-flash,0.3175,0.0,0.2373,0.0,0.0952,0.0,0.2069,0.0,0.0,0.0,0.4048,0.16,0.0952,0.1967,0.1224,0.2187,0.0738,0.0841,0.1574,0.0076,0.1384,1.1557,0.0116,14.8207
